1000 1200
836 893 4681
386 928 2288
160 881 123
462 965 2307
219 835 2365
112 873 4398
161 389 190
383 498 1807
14 113 4338
255 890 1827
143 938 2867
349 676 2111
298 439 4768
377 707 1079
781 838 3923
554 848 4757
240 854 2751
182 536 4452
527 953 2785
223 359 2053
338 729 2438
287 940 226
332 532 4910
219 828 273
146 462 4791
611 799 2252
623 666 3469
208 601 3951
143 485 361
173 636 2793
357 501 448
3 331 2262
169 829 2005
422 754 4148
373 379 1521
7 453 4284
343 991 3090
317 978 844
488 668 4810
75 683 1339
168 610 1169
830 929 524
368 439 1718
732 748 2135
268 666 3842
372 794 492
620 891 1109
245 768 2770
161 416 1157
112 899 2327
422 814 572
207 605 1672
597 605 1361
798 842 4923
82 250 2090
97 249 1723
717 1000 4265
378 806 2924
229 696 428
895 998 2856
52 453 714
358 761 4026
515 781 4762
118 859 2904
364 934 846
66 206 3366
719 962 792
984 989 1161
322 548 1220
348 954 3488
395 623 2263
196 814 1882
391 538 4566
894 987 3620
173 302 729
507 826 3274
44 966 3409
140 361 1129
62 137 1344
455 732 1954
634 646 873
628 789 3993
517 987 1352
611 884 2894
574 754 794
102 211 3220
182 851 1384
232 831 1008
961 984 4488
333 975 1900
367 394 1525
84 131 2053
878 936 1288
253 382 4122
399 759 3566
409 602 4014
306 351 1268
657 737 1056
766 959 3657
379 852 1288
546 884 2907
436 888 380
566 709 3821
574 933 2029
465 543 2839
494 728 4404
6 648 2798
134 780 2129
269 873 2870
5 964 3749
777 984 4685
378 827 1381
689 890 2921
53 304 986
214 836 733
53 277 2263
257 819 80
255 563 4123
147 899 23
351 862 2144
236 619 892
234 626 3427
197 1000 78
132 629 4101
175 924 1371
275 705 2569
206 785 1268
225 522 623
349 807 1952
599 798 872
468 773 3379
214 451 4939
21 660 3992
34 599 952
56 177 445
187 619 4523
718 822 4614
282 908 314
633 777 2204
735 971 3915
762 866 4704
604 724 3264
34 270 963
696 742 4276
275 470 1407
330 576 2923
152 468 3475
272 611 2708
416 853 483
649 922 2490
588 801 3855
778 893 3836
568 590 1365
149 830 2602
153 262 3561
68 160 2409
42 296 2708
33 174 4168
286 332 1962
455 690 1380
126 134 728
25 477 3929
163 416 678
698 988 3234
939 954 2858
64 729 3250
77 775 2869
570 842 3492
85 930 3202
320 331 4640
504 998 4612
453 659 232
337 503 3847
782 961 3202
40 554 234
1 400 1942
293 728 4587
409 561 3570
62 141 187
584 601 1844
154 516 3580
327 813 2328
751 873 2880
341 875 635
450 975 4108
22 102 3671
224 818 829
55 691 1231
439 653 4585
664 811 3406
448 818 594
274 277 779
255 273 4046
738 805 1648
122 689 3818
50 928 3675
481 933 2577
741 877 4476
809 953 2055
558 600 3912
23 222 4995
444 768 4286
426 663 3765
555 936 1296
42 896 2779
700 936 708
661 833 2866
357 804 371
749 890 2099
159 367 313
131 280 628
874 883 4831
502 503 633
4 978 4030
519 629 2411
19 59 709
61 453 1472
96 106 1732
104 722 1050
339 692 2281
167 691 3748
175 839 3387
744 848 723
432 656 238
910 986 1434
499 987 2375
46 756 3520
155 381 152
41 797 4301
46 107 445
257 843 4275
192 383 4912
440 719 538
912 979 3074
262 564 3094
528 784 4243
102 260 3669
476 503 4844
176 740 612
363 424 867
9 411 1665
171 785 4688
47 495 406
186 409 981
334 795 988
387 539 1066
131 404 215
4 472 1378
424 435 1657
278 970 3264
304 673 3617
550 781 2046
72 890 2253
427 577 3064
274 328 61
897 989 2020
427 523 2106
582 911 300
197 530 815
242 762 168
504 675 1103
716 888 589
327 390 2183
760 794 1467
31 838 1221
523 786 142
951 973 4114
42 71 3754
988 996 4532
347 807 2221
263 569 1607
486 827 1655
41 594 3460
233 436 1309
735 967 1514
645 785 3759
13 711 909
553 595 1062
679 746 2140
364 787 3042
581 875 4783
133 274 1131
320 458 2697
239 893 1703
99 227 1306
627 635 539
753 905 2168
588 613 2005
466 804 1128
392 867 1002
248 896 887
529 716 4843
446 730 4134
728 832 189
105 790 2589
24 594 2705
21 108 2590
494 587 1545
319 353 4718
79 928 4196
401 423 2000
499 937 4132
281 648 371
580 745 1806
138 155 2436
586 919 1714
128 655 2327
647 877 2476
375 704 4202
133 870 3025
655 855 4882
48 186 3022
140 303 1819
77 802 1814
214 311 2146
555 643 3810
162 204 733
80 404 1998
414 437 1989
251 510 762
167 493 4411
83 226 3670
527 993 2537
863 934 4449
61 840 1466
115 371 1980
25 480 3148
114 123 834
22 310 3805
47 109 1955
471 573 4188
709 885 3553
338 947 1321
25 213 491
473 547 40
641 827 4544
393 741 1002
421 527 2750
460 831 2069
314 446 60
249 454 4901
421 792 4580
140 279 4826
298 525 4485
500 994 4580
70 553 408
91 423 1668
700 706 1241
166 968 4509
321 514 1081
39 44 851
315 360 3634
407 711 2555
109 194 1650
236 572 1483
705 841 107
320 757 4251
601 957 1242
906 981 668
401 651 519
201 504 2640
461 973 2428
425 865 419
947 955 658
25 914 2432
647 796 4824
10 843 4599
616 727 1710
350 848 4645
432 556 3721
89 461 1884
691 824 3591
24 297 2349
221 933 1965
258 564 1435
565 656 1983
122 872 4570
152 190 1161
301 393 2352
573 779 4323
304 685 4690
334 714 1202
430 719 1466
127 484 3421
781 856 1472
53 560 4132
622 782 3223
457 756 4320
13 505 2794
57 490 2407
216 700 38
86 482 1199
884 974 489
504 880 4869
503 879 2691
99 135 3494
300 690 2812
791 936 4277
379 441 4950
100 210 3222
200 222 237
581 614 4244
509 899 996
710 981 1534
8 437 42
158 411 2806
180 362 3325
282 406 1453
899 948 1373
845 894 4169
205 731 1669
219 680 3697
465 497 253
956 967 1003
168 917 4627
889 953 3771
150 862 3995
676 697 1695
549 979 1244
394 997 976
58 304 1013
390 887 1292
267 867 297
121 645 2538
591 801 663
638 970 2565
38 652 1132
30 565 3661
273 976 4629
771 932 146
202 239 616
103 282 1458
96 139 1034
567 970 3085
340 587 550
69 404 2663
240 483 2324
374 468 3343
14 562 4961
610 812 2445
763 994 958
466 533 3681
37 246 707
63 522 1385
265 996 3253
179 249 3899
526 785 813
355 993 1948
339 413 3803
483 926 1296
438 446 3811
78 852 2580
60 435 1983
742 747 2327
184 605 4637
869 940 1744
847 954 4554
126 308 2956
87 544 559
810 916 1375
518 891 3131
531 710 1805
31 687 4194
309 913 4105
247 377 1677
345 879 2630
19 985 2001
554 776 445
301 508 2692
456 913 3966
452 771 4957
524 990 897
51 184 676
330 541 2023
617 778 4170
14 615 1333
681 866 2666
738 815 3530
16 781 816
436 952 3833
144 358 960
203 796 745
556 667 3874
292 299 250
650 943 1853
489 635 4098
515 767 2098
552 887 178
636 669 2707
857 961 4331
689 850 1099
237 568 3236
71 817 2719
278 803 3320
447 853 2974
73 631 3004
220 926 2653
358 972 1647
242 545 4261
492 978 1957
43 831 3257
243 279 917
246 289 2779
260 670 825
836 944 1495
486 918 1213
370 377 3146
73 410 2796
115 662 3316
307 603 1080
303 820 4580
189 795 2225
259 841 1914
249 403 2000
166 284 3003
449 650 4260
540 715 3160
837 974 501
48 949 2569
337 772 3351
189 209 1512
295 787 1360
351 927 4264
575 755 2229
67 563 1408
260 398 1298
98 674 90
28 246 842
734 747 834
475 904 286
500 644 3787
15 792 2360
326 534 4747
111 413 4051
283 636 2042
207 463 3699
625 813 231
11 760 3579
169 950 108
149 217 1951
101 348 3643
285 312 1886
686 952 3969
808 852 237
321 678 3962
419 789 640
463 886 845
93 504 2961
120 681 361
115 537 118
468 941 2856
442 535 4855
559 565 1515
90 651 4565
254 711 719
487 564 2185
129 231 830
415 634 2572
49 184 4528
197 876 4994
68 191 2244
654 864 4549
615 624 3954
469 714 1503
823 941 4275
380 778 144
450 743 2211
110 214 3537
291 837 1157
164 801 3367
17 688 1143
344 926 3589
601 694 1240
183 947 3203
197 198 624
496 840 667
411 844 1319
506 973 854
713 765 3969
119 251 4394
165 932 3223
26 537 2383
571 709 617
281 428 202
318 419 1876
61 720 4153
207 849 4742
95 465 1089
78 598 4538
405 819 3748
677 900 2192
261 863 383
184 520 987
963 985 4051
774 874 2290
97 185 2313
75 578 335
94 970 1284
366 407 1900
349 512 4042
212 618 1088
264 500 675
336 874 3188
294 960 1117
75 612 2314
235 348 4831
491 562 4176
428 770 2165
181 816 3513
215 401 988
74 598 325
352 660 4678
313 762 1203
276 313 3111
2 983 2660
27 36 2985
331 583 369
330 860 2877
92 909 1463
329 966 539
8 478 3626
296 693 3892
103 125 4832
375 834 3846
586 921 320
467 782 3096
10 464 3867
443 939 1871
527 758 41
714 788 4248
166 642 575
166 325 1998
200 925 992
324 403 4750
23 726 97
521 708 1562
438 606 1689
551 875 1259
200 621 1265
27 637 4226
117 187 4761
256 273 2464
148 251 947
825 1000 1317
525 630 1299
585 605 1734
209 592 1639
116 700 3714
402 762 3388
22 769 944
70 898 2930
382 459 3521
728 902 1648
244 670 2379
276 609 586
774 958 3609
153 665 2114
230 982 1301
361 868 3446
716 969 871
596 704 1353
32 134 1659
736 969 1851
18 732 3342
30 81 3221
376 880 689
172 365 4344
66 999 1097
238 961 574
163 695 2821
326 417 3756
1 178 3266
30 156 2357
691 733 1397
752 874 3786
396 929 2663
270 892 737
24 130 3533
266 739 3828
316 385 3752
45 52 4244
651 764 2008
560 933 1652
845 961 4402
816 965 1536
950 994 230
702 913 4892
506 733 4813
897 983 657
866 872 620
520 957 2407
916 979 3861
772 879 339
701 945 2427
912 948 2472
906 923 3873
836 915 3532
896 958 1883
700 995 1728
967 981 4855
666 921 1641
689 731 1622
666 798 1151
827 886 1921
710 787 4056
749 970 2068
661 929 3622
801 980 2059
978 994 3618
894 954 4424
533 721 348
911 995 2955
374 647 873
645 786 3322
505 816 711
441 710 866
682 888 4702
763 858 3863
601 918 3781
858 883 3467
707 815 2639
795 863 3238
661 900 2308
828 945 4841
525 792 1295
672 690 1764
633 734 3415
643 938 4622
690 808 1830
933 980 2891
681 682 4138
826 916 3881
835 892 3738
793 872 310
833 917 1560
821 880 3719
818 931 4566
579 666 4600
599 702 3986
782 971 4861
756 789 2226
826 987 1446
646 668 4619
780 800 101
625 779 3683
830 883 930
889 906 1306
764 827 224
696 968 428
694 854 2793
866 958 1776
762 851 1411
685 718 2373
669 792 1175
873 935 2755
858 886 1276
984 985 132
607 984 250
879 973 2466
883 989 2246
833 883 986
919 965 3644
864 937 4369
830 890 508
619 669 1983
885 993 2629
733 850 3791
729 873 2987
820 980 2695
827 902 248
717 845 918
875 934 1387
885 987 4390
733 762 4148
748 877 115
717 879 1639
782 956 1355
867 870 3671
936 997 4039
945 994 3955
808 946 4698
762 840 2798
846 936 1437
681 734 2549
925 957 4196
947 992 4615
869 984 2549
791 909 4423
799 978 202
505 780 1019
912 919 1712
874 897 4212
706 806 2336
694 905 2166
612 925 1541
522 991 4497
898 994 823
825 940 3961
826 967 4347
758 820 2870
599 668 1133
644 681 4763
839 891 352
724 946 2021
961 979 1081
757 812 3891
915 999 1482
844 864 4586
674 867 2729
866 998 984
609 1000 4316
917 990 2331
949 968 2654
817 932 1637
763 927 3747
582 970 4266
893 982 2987
785 949 4879
922 972 1994
726 784 4865
742 816 4554
607 787 888
896 928 594
986 988 390
915 929 2224
695 893 2082
869 951 4046
756 855 3863
730 913 1634
874 887 1676
676 913 4854
940 980 1687
906 908 1951
895 916 4497
906 952 1961
757 977 1474
660 894 2424
627 661 3481
718 808 721
731 979 1133
794 918 4958
719 923 4607
840 958 1282
506 599 1649
616 734 4138
544 613 749
748 781 972
797 953 818
561 654 4171
645 995 581
564 609 2361
721 869 907
613 636 395
885 887 1426
817 953 3672
750 989 2525
738 880 843
526 529 1542
926 946 1779
859 985 415
716 810 4416
681 979 1821
726 772 2054
601 769 4631
879 884 2230
827 914 3633
973 999 1385
802 898 4946
496 945 4941
819 979 2712
690 908 4952
696 936 345
820 940 200
785 850 179
849 893 2817
729 928 1461
843 931 2613
688 914 1328
649 904 1566
877 925 564
926 959 4250
909 966 3706
