2000 3000
776 1492 2823
489 1791 2638
1717 1769 1607
355 1179 2502
651 1856 86
1717 1932 2992
61 1688 4098
1636 1985 2132
313 792 1704
445 825 3579
754 813 2991
1718 1758 1180
561 1863 156
456 837 869
1600 1875 1562
147 476 751
381 577 2285
1049 1911 2730
693 850 3751
1068 1816 3836
131 1878 2138
94 1914 2828
629 1171 1086
409 1889 4635
341 1115 2054
1482 1771 2734
83 1245 1334
394 1262 2389
91 933 2624
136 1176 2911
1033 1995 1911
683 828 3890
578 1155 811
782 1453 3557
1476 1508 31
118 1876 1577
850 934 335
1558 1922 4312
1039 1358 3238
1650 1677 2100
186 1201 3606
555 978 4987
1066 1567 4978
1008 1194 4745
447 1292 217
1377 1492 4006
10 1415 1091
1175 1248 4890
199 270 457
583 1120 1791
850 1017 4112
82 1602 1782
263 1178 4766
1153 1522 2388
1200 1462 1880
1551 1878 1790
51 401 3747
149 1911 2282
1222 1455 3338
535 825 1608
91 980 1432
757 1496 3522
873 1381 4798
356 1515 3095
657 738 2326
1148 1460 182
943 982 625
871 1328 1274
1062 1378 639
65 1962 848
459 1804 2077
1414 1482 2897
937 1061 1140
13 1100 2644
1885 1915 2335
186 1880 2195
1549 1623 3188
599 1582 4137
171 1812 4695
1335 1925 2010
340 782 1484
431 1990 3724
565 1755 1244
719 1432 3269
392 1804 3281
205 829 3493
1078 1414 2629
18 1218 3237
79 1369 3408
153 1727 4104
1275 1878 3321
1283 1361 3185
1694 1720 4223
1636 1809 1309
39 969 1720
1109 1163 2066
651 1627 2041
876 1120 4024
440 1292 3607
189 625 143
561 1737 910
824 1228 2970
1488 1720 1072
1085 1409 1395
1534 1844 4456
1598 1856 3542
994 1771 2455
428 1496 3722
839 1521 1695
704 1599 4341
1687 1766 543
62 980 1160
262 1799 998
943 1792 2699
504 585 4091
1295 1771 1737
388 1051 3556
566 995 2472
1402 1476 1445
1078 1891 4042
618 1502 1612
595 1533 615
1201 1748 4635
382 867 4343
1135 1278 2349
251 866 314
1153 1669 4573
1211 1628 1346
300 1779 475
54 1621 2980
98 205 2808
657 1897 4819
491 1972 4676
1045 1544 2965
35 1386 4294
355 674 3082
264 447 1788
671 1846 3290
527 929 2955
1295 1439 4742
392 622 2513
73 1925 4619
1198 1429 3186
1797 1919 1610
320 1841 2712
1527 1717 339
1582 1629 1910
391 769 2547
1292 1645 4542
36 1762 1499
407 1831 1129
870 1679 116
118 1030 2552
664 685 616
811 1112 2552
826 1772 2082
1168 1285 1939
1160 1727 3192
596 1808 565
433 1187 2863
1144 1179 2300
1599 1894 4097
795 1772 1212
385 535 547
68 1636 4082
412 1849 1202
1247 1558 2199
465 1363 367
1148 1643 1055
628 1307 1647
39 840 1762
978 1301 448
619 1679 499
384 1755 3049
255 261 3560
1875 1980 178
666 1645 1721
1197 1449 1348
549 1281 3108
546 1273 1370
334 1133 1575
841 1864 2440
1964 1991 4792
417 782 1523
266 854 4570
15 1333 4289
1204 1285 3193
138 1426 858
102 933 2112
378 1488 3983
845 1319 3825
260 795 3858
310 596 3573
771 1045 2503
1826 1902 3188
409 723 1729
1683 1844 2655
1454 1545 4431
772 1086 4395
241 1587 968
663 845 3257
1356 1990 4221
1132 1446 421
778 890 3487
69 490 1892
455 1914 1865
839 1339 1217
476 649 599
1824 1905 41
261 1943 1279
341 345 3013
89 1913 3030
485 1547 1376
291 1738 1935
421 983 234
438 1492 2479
503 1276 1860
533 1832 3204
282 1772 4061
146 310 3208
241 1532 1765
262 1589 3112
1353 1364 2096
194 991 4026
934 1999 3964
1439 1642 2478
371 1293 3415
330 1309 1380
1285 1787 3075
768 1567 790
78 1880 3571
501 529 2295
103 128 779
1840 1999 3005
1088 1689 162
1581 1754 1819
58 616 4315
1129 1592 4682
198 1984 1557
75 1995 4690
708 1296 2768
727 995 3139
184 574 4497
136 390 4272
826 1494 4280
123 1016 4614
247 1527 1103
419 1569 281
171 785 2765
109 1522 4776
1432 1489 4044
1115 1583 3050
1584 1629 1712
32 891 4618
339 1201 3970
291 720 3375
845 924 1763
19 531 1918
92 293 4029
108 487 3900
1522 1926 1102
394 1946 2566
1118 1962 1566
259 1902 2068
1398 1907 155
1859 1919 4142
385 1223 2531
184 454 325
492 983 1779
1400 1529 965
1108 1426 4669
261 1805 3953
122 1088 1383
599 987 248
377 941 2353
955 1545 2151
162 1104 4774
1421 1876 4887
352 1258 1896
644 929 1376
588 1171 942
325 825 574
166 194 647
556 1718 691
231 1026 4155
603 1338 1157
916 1407 2727
1184 1846 1065
657 1702 1642
596 1659 2872
782 1044 246
796 1274 2305
64 241 3881
447 864 2360
80 983 1068
685 1207 4925
1200 1782 3235
104 695 4088
558 938 3223
177 1453 1964
904 1280 4137
1750 1954 4329
610 908 952
458 1198 2974
779 1183 980
29 1991 78
511 1193 2756
1295 1479 107
1518 1863 429
19 1716 4081
255 810 4027
922 1907 828
845 1313 2501
1243 1301 3012
91 1819 2756
146 1268 48
170 772 2141
1065 1518 1769
698 1190 4192
60 585 2640
1104 1448 4655
72 261 467
639 1448 3666
479 783 3228
300 1373 2707
503 1969 4690
744 1381 4454
1378 1588 1892
1093 1962 4323
337 1273 1219
57 921 1550
1643 1838 1615
830 1643 3167
132 1311 2005
928 1104 494
673 1216 2720
479 1615 3041
428 1512 950
421 1203 2730
499 1871 3500
614 727 2962
109 1177 2140
497 820 4763
461 1646 2317
171 1619 1636
822 1799 3660
1805 1939 109
295 899 1426
1019 1281 102
92 1174 1878
144 1908 3876
955 1475 2261
1120 1865 4940
147 530 1215
987 1620 1738
796 958 2452
1056 1431 2492
778 1684 2694
1527 1837 1642
671 1138 4304
98 1686 265
1356 1912 3064
177 797 3209
551 864 9
32 998 956
1204 1967 2076
102 1139 928
674 1550 2775
1720 1909 3198
1494 1834 2567
761 1194 3451
189 236 771
915 1945 479
677 1851 392
1065 1226 2749
1307 1961 908
104 710 3922
850 1657 2701
600 1823 4362
263 358 3746
859 1278 3855
181 1482 525
1331 1573 907
316 403 2703
1078 1994 1320
222 921 3548
1691 1771 1597
682 1772 1609
277 1198 1228
442 1407 3123
38 1311 2242
1215 1679 3185
184 1192 367
1130 1945 4693
1166 1911 279
92 135 4255
35 1214 4280
1402 1998 1771
603 827 4572
1212 1488 1876
1886 1946 161
813 1350 1553
646 1567 1944
1341 1737 4510
177 1152 1931
1003 1530 1550
797 812 250
22 1939 3048
917 1118 3552
1295 1396 3936
492 951 2481
98 638 2311
1178 1537 598
1194 1535 3133
942 1109 2493
104 1457 358
1070 1677 699
215 772 3979
176 1281 3459
533 623 3715
637 1964 1596
1070 1721 1881
856 1503 3941
539 1720 408
450 549 4244
128 1867 3636
567 1849 688
1351 1621 2851
276 983 2995
116 455 4708
471 1313 132
760 1731 4606
21 73 1796
1012 1393 4844
1705 1903 4384
1302 1416 391
936 1402 2654
104 376 1405
633 828 3683
120 745 3801
278 649 1100
421 1240 2547
590 1584 3892
497 1269 3274
49 827 614
130 744 975
850 1814 2763
806 1592 3539
973 1240 4133
663 1951 403
496 1964 1157
1769 1854 403
680 1184 2122
746 1135 2953
1415 1917 1348
1235 1789 4228
543 1424 664
1479 1678 501
473 1190 1516
244 1705 2908
62 1097 1110
305 1600 3118
218 1919 1624
714 1204 4701
873 1202 4582
675 1407 3529
1356 1818 27
139 1747 3774
648 1629 4905
1477 1939 2669
345 1304 2543
509 1203 1848
1415 1647 1296
203 750 104
1495 1751 562
472 533 4705
830 868 1100
164 206 1705
976 1861 1691
624 1120 3637
245 1928 1295
796 1590 2100
772 1895 442
1244 1961 2456
1190 1833 2721
661 1841 2242
758 1643 4381
320 1209 1517
1162 1832 2012
301 1925 2278
695 1406 3460
158 1052 2386
1095 1243 1248
983 1539 2849
1342 1791 4982
98 1927 1745
1686 1965 3615
479 654 78
880 1849 2817
1126 1213 3097
316 1958 714
1183 1649 1671
548 1294 478
146 1091 2251
1074 1796 4179
1207 1920 1254
212 533 4147
1136 1538 526
186 1137 2873
629 1827 4901
979 1097 1176
11 963 3428
1143 1396 472
550 1947 1967
145 1771 2378
990 1985 1506
584 1836 4150
523 622 1500
1638 1807 418
653 1828 2763
1770 1951 2054
1247 1265 4577
772 1121 3063
1884 1932 1166
394 1344 1881
432 1786 3365
608 1418 4760
626 1446 1707
289 653 3144
807 916 581
1247 1977 4779
93 1061 954
1289 1974 107
525 915 3354
1765 1919 289
1732 1939 1460
1393 1756 1710
1659 1929 334
1106 1799 2151
93 1901 3272
810 1979 2598
627 1004 3218
130 645 1191
410 1754 4840
144 1784 3568
2 1818 1514
72 887 2717
1031 1163 3337
675 817 1322
1215 1413 3863
207 1972 2147
1115 1640 375
637 1025 408
104 1692 2157
32 1380 3789
447 860 2742
1238 1970 1169
61 253 3283
1640 1937 1893
1431 1874 1938
253 662 3264
1443 1794 1974
525 1087 4320
750 1654 784
545 1331 2883
533 1591 1278
18 1668 87
873 1890 1770
538 1229 2231
966 1996 4758
1226 1733 2927
237 1804 4632
1666 1737 3858
180 757 2928
819 1799 3098
423 1693 2881
542 1733 1639
142 814 4175
1037 1913 291
831 1537 4582
197 1515 2766
1330 1440 3852
1365 1943 1406
771 1053 4840
642 1666 1378
560 1151 3394
885 943 4950
1493 1854 3692
320 1076 2585
901 1912 2066
621 1318 933
1442 1488 3406
1679 1817 3223
845 1877 879
164 954 1232
1398 1485 179
707 782 3531
870 1676 3155
348 1030 4904
477 840 2398
355 739 4936
1202 1626 1096
791 1762 4514
909 1298 2140
148 1078 1085
1076 1667 4456
713 823 1871
1 487 4480
244 843 2126
631 1885 3694
1119 1836 317
567 1741 488
186 730 625
148 1900 4066
514 810 885
303 1818 262
280 1024 4578
942 1199 4745
1072 1140 2243
1076 1270 3047
321 1985 3752
181 799 1098
104 582 2817
893 944 3463
94 613 3117
1626 1661 2002
368 1624 1691
470 633 2580
1011 1807 2386
534 1494 2545
222 1372 1156
559 1143 639
736 889 2632
1571 1782 1763
1362 1929 264
435 812 4718
384 967 2328
564 1544 1841
1324 1653 4409
455 1835 2412
83 444 548
1022 1867 3501
103 1798 4930
804 1496 3223
1598 1714 1196
827 1092 1793
1628 1632 2959
226 966 433
1358 1713 3778
537 1385 120
801 940 4979
768 1354 2384
107 1258 3678
107 1575 2075
231 681 1559
1352 1408 310
1082 1283 1659
346 1243 3662
427 1891 4954
17 1742 578
1344 1848 3400
800 1880 4393
288 305 572
175 951 2941
1266 1760 48
576 946 3328
1484 1928 3218
946 1524 437
998 1221 4786
1963 1964 507
902 1333 685
1212 1286 837
916 1802 1577
1521 1675 2342
853 1996 1579
557 1353 3035
21 763 4389
951 1618 169
380 442 2548
47 244 1689
101 1475 1361
766 1074 3745
1408 1887 3854
1400 1447 198
914 1608 4987
1224 1574 1382
223 1199 3633
652 921 4066
173 1238 2248
980 1146 1100
561 1526 2196
410 1555 381
43 720 2445
34 397 26
833 1901 2335
1350 1735 4368
594 1922 4990
101 1427 973
426 600 1726
1092 1505 2681
390 1744 1507
386 1227 4494
469 1121 2060
783 1312 2532
351 492 1270
1386 1603 3112
479 1314 1862
787 1335 2093
1494 1548 3198
1100 1801 3179
11 66 1492
610 992 55
1556 1774 3327
240 873 1228
154 1308 3180
292 403 3601
793 1607 3920
491 689 714
782 1559 3055
988 1713 2931
415 1439 828
553 1477 4866
1588 1940 441
360 397 1813
757 959 705
21 1953 2156
1408 1633 3709
596 1159 832
786 1284 1652
1162 1711 3500
1667 1924 3294
664 1083 2291
581 1421 1923
893 895 3690
600 737 3511
573 1755 1656
179 740 1529
290 334 627
288 607 3765
836 841 644
431 1704 302
911 1510 4494
205 1631 248
785 886 170
254 1361 2597
647 819 2327
528 772 3654
290 335 3321
57 1263 332
1370 1531 3687
893 1005 3527
1953 1975 4257
1140 1487 3031
923 1565 202
608 1989 3633
1662 1713 1082
1263 1368 1285
726 1431 1576
1025 1793 3342
899 1290 2934
1009 1943 1145
604 1771 1092
509 1698 4578
583 1346 418
388 1938 1851
1456 1951 2672
1687 1815 1933
1366 1728 985
766 1540 3412
630 738 2247
780 1409 1119
527 1978 320
108 243 1998
248 1863 330
16 17 3423
314 1962 4755
1244 1763 2401
162 413 420
953 1020 2354
663 699 4238
7 1620 999
961 1567 2534
639 1810 1835
465 1609 4013
190 1123 2570
1283 1665 427
628 1597 3797
722 840 245
1345 1720 904
35 1986 996
396 713 730
105 1469 4353
691 1143 2126
1649 1916 4782
958 1611 2544
355 1509 2366
406 683 721
297 1339 4095
1102 1914 2303
115 1450 2447
63 564 3823
241 336 2253
1049 1950 4676
409 878 1906
1263 1340 4892
676 921 4359
1394 1962 3705
1545 1594 3448
270 1491 2893
956 1876 4730
480 613 2210
749 966 2081
862 1864 3545
39 1099 333
46 603 3914
844 1045 4550
1334 1703 75
1241 1388 3013
552 966 1572
319 1671 1045
79 1541 2666
542 1498 1746
92 1259 2290
444 668 2385
1359 1538 705
1049 1101 288
413 1325 1618
1008 1499 2055
397 1723 2119
726 1271 2000
1164 1970 979
383 622 1050
1380 1719 1584
1184 1405 4076
467 658 501
420 1173 4800
407 1103 3050
1581 1944 566
923 1172 2934
1668 1706 1739
263 1000 2841
393 1852 865
1168 1700 302
50 221 1193
266 1752 1443
656 1166 4854
349 1915 4316
657 1726 1836
56 1436 4260
1653 1811 1817
1225 1998 4518
557 1474 538
388 919 2756
1580 1738 3770
9 1872 3053
646 1367 1246
535 882 3308
847 1410 3644
1395 1799 3767
9 1036 4790
107 1105 4941
112 352 4041
411 982 707
197 702 3723
290 1516 833
1233 1391 3692
172 956 4344
1174 1562 4252
1257 1484 847
446 1841 4854
1340 1879 1567
112 113 2035
536 604 4627
927 1890 1354
44 1173 4556
1465 1609 2838
916 1141 84
1601 1954 4176
22 306 1209
701 1765 3223
235 369 221
1040 1717 1006
1004 1795 3275
639 858 2165
779 861 4276
462 1990 626
146 294 1132
812 1242 3233
634 1328 3278
66 1464 2801
72 945 647
363 1365 4490
520 689 2769
52 808 4260
1105 1690 2846
111 1684 3241
1051 1513 393
788 790 2302
124 1909 39
407 1116 4661
1021 1309 2347
519 1220 1207
461 540 3675
28 718 4824
1051 1563 2021
1255 1611 1803
846 1100 4286
616 742 3593
403 1060 708
1241 1506 532
692 1271 1914
1477 1630 1912
171 709 4972
1048 1864 2204
1488 1930 404
647 1478 1285
1382 1658 1716
548 686 28
672 1810 2093
9 474 2025
384 1315 4808
644 1249 3792
575 589 1994
123 1145 3691
97 407 2269
314 751 3080
1870 1904 141
281 1859 3764
429 1812 2168
1322 1805 3648
1222 1336 3338
981 1867 4044
5 1979 1927
875 1649 3297
473 802 250
598 1833 1979
410 721 2406
648 910 4206
544 1717 723
134 429 4720
1128 1862 940
437 1790 2536
164 1966 1830
1496 1869 3022
190 851 843
1753 1951 2347
767 924 4312
1103 1941 1338
189 309 2644
721 1637 535
757 1081 1282
643 722 454
246 1311 3472
324 754 1799
41 540 1697
585 1343 4081
680 1605 4792
597 1053 4541
737 1107 1718
772 1821 3069
212 948 4446
1773 1787 628
920 1558 303
1525 1676 1799
1566 1875 882
633 1142 2341
981 1552 2597
151 629 3987
1014 1154 1782
1128 1150 1403
1828 1839 2644
583 1316 3333
1780 1865 2018
687 790 1886
1369 1461 1045
167 1505 4753
200 797 2081
678 1567 3060
123 505 2023
76 1623 4916
1130 1959 3778
611 1720 4859
1490 1736 4266
37 1787 4969
1349 1629 3464
231 999 3392
820 1384 2259
77 1194 965
1702 1957 4234
293 1553 4068
1426 1528 2555
798 1319 315
1638 1651 4668
286 848 289
1471 1731 3920
1619 1743 3176
249 1695 1356
606 1719 2010
399 558 1170
30 412 488
273 1669 302
667 1242 3688
990 1080 3511
328 1828 2391
1186 1444 4336
185 1420 2197
1664 1859 4960
219 1428 4457
114 167 3783
964 1809 3509
50 106 1946
729 739 460
373 1362 3224
864 1788 3792
816 1269 4157
214 555 96
1200 1253 3127
1034 1369 3754
1098 1957 2568
1291 1516 494
118 764 1412
524 1503 2932
1699 1737 1243
116 591 1045
54 1983 3353
62 1035 2760
1679 1709 788
560 1206 2574
166 1430 1877
123 1208 1288
1467 1505 2811
889 972 2506
674 1094 3964
894 1760 1135
1356 1847 2638
1174 1740 4543
359 1200 4133
6 755 3470
493 1675 3126
1004 1480 871
55 1152 2427
677 900 321
285 433 1639
389 1140 2792
311 879 2165
249 1973 2815
16 1029 988
1470 1966 2821
27 1741 4422
298 1427 1686
1371 1618 129
172 228 740
1021 1612 3525
950 1104 1557
102 408 1063
1011 1757 1654
276 874 2941
175 183 2320
38 1822 3891
98 1910 778
876 1960 4590
520 1170 3311
26 1120 743
861 1725 1378
1587 1781 690
386 1882 1271
801 1181 720
1058 1756 4980
475 1066 1266
965 1073 1016
831 1219 4247
350 445 810
505 1473 3647
982 1803 3197
898 1120 1744
64 568 890
334 1672 4241
507 859 487
86 1885 3406
1379 1846 2671
43 1246 2387
705 790 4602
168 1133 1060
554 1005 2855
527 821 3621
1305 1582 3983
210 806 605
126 1426 4915
1103 1466 3953
1336 1360 4633
136 191 4830
923 1724 4418
1160 1411 3558
758 1122 2600
1017 1923 4039
192 1299 3126
803 1349 3712
187 663 1936
1896 1979 2069
635 1343 1350
617 1187 4741
664 1468 2602
572 773 2339
815 1609 3010
978 1729 3386
232 827 458
176 1501 2052
31 1801 1810
420 1320 2868
984 1846 1752
110 1067 1443
284 1583 1095
805 1218 1752
320 1006 4072
327 1537 635
1390 1719 4912
632 1603 3900
361 1627 634
1135 1417 383
589 1868 2758
605 1496 1595
296 1652 1211
1625 1676 3820
383 1059 3744
312 437 389
20 1325 2289
366 544 3153
48 1266 4624
996 1030 3180
1340 1374 2891
315 384 2382
698 1993 4381
353 744 4952
1574 1949 4079
878 1785 1106
570 1117 2055
1618 1935 44
1537 1783 4577
182 335 3740
668 1158 4526
74 408 1687
970 1270 171
232 1125 979
925 1387 3155
974 1629 324
437 1134 3047
6 1007 2205
615 1759 293
344 1778 4642
329 1875 2783
1203 1685 1220
690 1765 2958
930 1355 3621
8 40 2718
728 839 4693
260 852 923
799 968 1915
423 1267 4133
1149 1715 4927
201 638 1360
820 1739 96
293 1399 2510
669 1550 3738
1500 1576 3417
935 1034 370
514 977 2140
976 1674 101
224 1573 4450
838 1446 4566
25 1330 1641
415 939 1062
743 1442 3864
598 949 4113
80 2000 1223
436 1432 4279
1368 1445 301
502 1962 64
430 1562 2560
1138 1982 3811
1055 1710 2608
562 1253 816
1267 1858 853
1329 1573 1397
1026 1195 4675
1554 1653 2470
314 1347 667
1744 1768 969
268 689 3972
1608 1893 1977
1014 1256 1265
716 1891 4816
1156 1455 740
387 1148 4611
109 1071 19
414 729 1297
146 1337 1955
563 1527 3620
1677 1775 3171
1267 1403 2491
516 1927 4242
655 1544 2583
441 1163 4123
1131 1367 2964
1168 1497 3263
258 589 3786
165 1137 700
1062 1124 2757
199 641 2597
609 1291 1546
152 388 25
1003 1764 3804
563 1452 2473
119 1337 469
872 1551 1652
1643 1696 4504
997 1781 686
603 1578 4199
468 649 185
1042 1080 944
374 1695 1753
869 941 2406
443 795 439
396 865 1893
64 835 486
174 1145 493
397 464 3794
275 458 2675
193 1762 2106
829 1057 3709
1823 1971 1635
478 951 60
877 1739 2935
1486 1705 2807
1030 1230 341
579 1629 1469
531 741 3083
706 1512 1891
227 932 3546
1359 1825 3679
364 1504 3721
49 986 1732
622 855 2548
342 573 2456
1099 1519 2958
402 1777 3034
878 1111 69
173 367 3287
103 640 149
1439 1595 710
1311 1412 1088
897 1445 3139
960 1416 2820
145 1419 346
522 1387 2557
433 1161 4381
8 696 3005
1830 1948 2359
11 1641 825
114 510 265
494 979 4598
387 1561 492
638 1277 1148
1845 1902 4281
1114 1823 113
96 595 3102
386 985 2769
1211 1745 4986
390 404 3997
395 848 3763
800 1613 3857
542 1182 693
70 1126 3739
227 1857 661
300 1191 2008
697 1970 3655
469 1507 753
33 1474 1557
161 994 2911
308 622 1873
332 1751 842
466 1247 293
1034 1655 1272
488 719 3617
90 1243 1036
1596 1804 3789
608 957 1605
1441 1605 1352
1139 1682 1018
81 367 1744
729 1090 2258
621 777 3914
308 1188 4312
1054 1983 748
1387 1746 1174
1185 1884 1401
1543 1861 4513
159 780 2717
952 1926 262
422 845 3305
1189 1659 3596
42 718 1658
529 1681 3810
629 913 1061
154 1586 4098
452 1039 830
229 378 510
736 1397 4369
1063 1679 625
1239 1301 1008
275 1264 2834
208 529 2471
538 650 4693
673 1196 388
696 1572 4482
1376 1632 362
486 1396 2186
230 809 3184
175 498 3487
88 1947 1030
220 1295 4163
1084 1949 1032
4 1926 4548
158 196 4318
28 265 4206
1252 1407 4330
636 1775 330
753 958 2891
1263 1873 2950
512 720 3978
563 1855 1988
1670 1772 4836
508 1105 320
1068 1850 376
381 832 2500
362 1267 3433
1519 1680 4862
232 1579 45
1425 1469 4932
250 695 4023
283 1537 4263
864 1806 1666
129 1558 1646
687 1079 4743
1240 1644 4476
1217 1605 1513
594 1730 1381
133 1361 2743
588 989 669
302 1391 4290
338 1519 4953
891 1110 2487
1250 1879 698
1868 1992 1223
77 453 1071
216 543 3021
756 1777 4162
434 684 248
1015 1153 3079
271 1362 538
155 1705 4160
1443 1617 1135
526 762 4572
116 1610 4370
795 1018 2297
543 1988 4405
517 666 4335
515 1202 2840
595 1023 1943
140 427 2500
1014 1829 2380
304 1935 2352
515 1898 1969
1788 1997 2963
618 789 4236
435 1251 3131
287 936 1585
1010 1794 1110
587 649 4017
569 1619 975
140 1113 1732
703 998 2019
986 1404 4141
272 1815 1180
1873 1976 2494
1303 1611 2469
